UserName,Class,PredClass
WellimOuttaNames,1,1
WhiteQuokka_STEAM,1,1
XYZeeba,0,0
Z4iYuan,1,1
_-Raven_-,0,0
_Jupiter,0,1
adeleon0081,1,1
aidanarn9131,1,1
aleprim2019,1,1
alexesre,1,1
anstr-cameron,1,1
arianagrandeyt,1,1
b36016,1,1
baltobear,1,1
bananaoonanaOMG,0,0
berdeak,0,1
beyzaozturk363,0,1
blr2019eac,1,1
bugboy122,1,1
c1708297,1,1
ca23ic,1,1
carolinebsb2,0,0
catlover3465,1,1
cetr7,1,1
chase11p,1,1
christiank123,0,0
cjbonsell,0,0
clb2019ehs,1,1
cldxl,1,1
cnrobot,1,1
cooly10,1,1
cottoncloudie,1,1
cristianiznajar19,1,1
cs2164018,1,1
cs2324819,1,0
cs2358428,0,1
cs2358498,0,0
cs2360213,0,0
cs2360272,0,1
cs2361503,1,1
cs2367370,1,1
cs2367641,1,1
cs2373913,1,1
cs2374309,1,1
cs2374431,0,0
cs2378113,1,1
cs2388732,1,1
cs2391242,1,1
cs2391249,1,1
cs2391253,1,1
cs2394097,1,1
cs2395683,0,1
cs2395801,1,1
cs2395833,1,1
cs2398559,1,1
cs2402850,1,1
cs2404980,1,1
cs2407435,1,1
cs2424631,0,0
cs2429228,1,1
cs2433937,1,1
cs2434529,1,1
cs2443800,1,1
cs2443807,1,1
cs2443816,1,1
cs2445626,1,1
cs2448800,1,0
cs2449713,1,1
cs2456318,0,1
cs2458465,0,1
cs2462107,1,1
cs2466111,1,1
cs2501340,0,0
cs2524314,1,1
cs2531585,1,1
cs2578779,1,1
cs2586622,1,0
cs2608161,1,1
cs2620516,1,1
cs2635284,1,1
cs2909597,1,1
cs3207844,0,0
cs3252389,0,0
cs3358749,1,1
cs3584550,0,1
cs3656933,1,1
daniel980215,1,1
danielvcanada,1,1
disintegratingfox,1,1
doggystuff,1,1
ejthomas4,1,1
emilygreulach,0,0
fowen1,1,1
ga-gaeun,1,1
georgiaCHICKEN13,1,1
ggh012,0,1
ghostbustercat,0,0
goofygammer,0,0
goth_rose,0,0
gulloa0009,1,1
hcc831096,1,1
illgottengains,0,1
isensnic,1,0
jake2482,0,1
james19900,1,1
jbw062,0,0
jcook4231,1,1
jmendez0142,1,1
joaovitorsmiguel12,1,1
joel_2006_28,0,1
jon736,1,1
jorgepascua19,1,1
jorgielsMacatroll,1,1
juanpb94,1,1
kcs14267,1,0
ketchupchips2011,1,1
koopflop,1,1
krystiang6,1,1
kyb001229,1,1
lalunedeer72,1,0
lauraprimeroa,1,1
lbms71919,1,1
ld_g09,0,1
lilcommander009,1,0
lipstickgirl109,0,0
lirongyao,1,1
liss0102,1,1
maatiglezz7,1,1
madysonhenderson,1,1
make-dat-money,0,1
martinezaitor,1,1
martineziraide,1,1
martinkotatko,1,1
martiroksan,0,1
mckeeroadtech,0,0
mcornago7,1,1
melly2354,1,1
merylachula,1,1
mine900,1,1
minh_124,0,1
mkh151437,1,0
mlpfan21,0,1
mmhamiltonm,1,1
mynameisJEFFYMANDUDE,1,1
ninjaminec,1,1
noadezutt15,1,1
notsoaesthetic,0,0
ozgurceber,1,1
parisnieves11,1,1
pd5ws25rr,1,1
phw0208,1,1
picklebugawesome,1,1
pokemon240,0,1
poohbeer06,1,1
powerpuffstar,1,0
precious_trinity,1,1
rayyanmakhdoom,1,1
rkcudjoe,1,1
rmurphy316,1,1
rocketCaptain1,1,1
samuel66666678,1,1
saray6e,1,1
seamoara000,1,0
secrect_mongral,1,1
sfzanet,1,0
shruthi_811,1,1
siemlove2,1,1
sinner2500,1,1
skyhundredgamer857,1,0
sonjas,1,1
sowad12345,1,0
stampy935,1,1
starwarsluka,1,1
stefanodp,0,1
stellastarfort,1,1
subjecth3r0,0,0
supermanspidermani,1,1
thejazzman18,0,1
thirdjulitta,0,1
tiggi17,1,1
tinkercad10112,1,1
transformers___25,1,1
turtlemybud,1,1
vbs2898,1,1
velvet-chan,0,0
viceat18,0,1
victorfritoli,1,1
vitalistudio,1,1
vv1111,1,1
warc250,1,0
wmsBRO090,1,1
woolyraccoon85,1,1
wsmith16384,0,0
y3ash2018,0,1
yel2006,1,0
zaeAllen,0,0
zavhyd18,1,1
-IiIies-,0,0
-WolfyAnimates-,0,1
-_ParticleLeopard_-,1,1
0101codeseal0101,1,1
05carbar37186,1,1
100rainbowunicorn,0,0
10745353,1,1
117Spartan117,1,1
131David,1,1
15Sacha,1,1
18b3_jade,0,0
18b3_ryan,0,0
20011688,1,1
20013106,1,1
20192142J-pe2019,1,1
2305415,1,1
247BWH,1,1
247CJS,1,1
26BSTARK10,1,1
28cookk,1,1
28mgolightly,1,1
2kami,1,1
334968,1,1
3RLogan,1,1
5-D513,1,1
5-H1112,1,1
78lcas322,0,0
80399813VH,1,1
Abor5-6,1,1
AceAnie,1,1
Aidyl809,1,1
Alejandro5D23,1,1
Alex_123201,1,0
Alex_Eitel,1,1
AlexanderYN,1,1
AndradechrisEVEN,1,0
Andreamin13,1,1
Anime_QueenYT,0,0
Aquaocean2,0,1
Arno21,1,1
Axuni_Wyn,1,1
B73054768,1,1
Bitty_Swaps_sans,0,0
Blake_Ashton_Corp,1,1
BongoTheWolf,0,0
Bramle11,1,1
BranVill,0,0
Breadboi21,1,1
BrennonTheGuy,0,0
CHFCS19,0,1
CL120303,1,0
Carmen1100,1,1
CheckyTheCheckMark,0,1
ChristopherSolander,1,1
ChyWidow0101,0,0
DERPYMOWHAWKDJ,1,0
DPWest,1,1
DRMEMES11118,1,1
DamontaDPA,1,1
Daniela5c,1,1
Darth_Potter,1,0
Dea986,0,1
Derpy_Donut,1,1
Dodgers808,1,1
DogSpace444,0,1
EG533517,0,1
EL9757194,1,1
EWAPOLS04,1,1
EllaRenee,1,1
ElliotHawins,1,1
Enderloser1,1,1
EnochP13,1,1
Enot2018,1,1
FWKScratch,1,1
FZFCS19,1,1
FarmerGusBus,1,1
Firestar9lives,0,0
FlameKing24,0,1
Flamelalo10,1,1
Frostingkittycupcak9,0,1
GR9744344,1,1
Gabirul008,1,1
GojiKris,1,1
GrapeSodaIsYummy,1,1
HackerPanda591,1,1
